vacc_on,immune_escape,matched_vacc,matched_vacc_level,vfr2,name,rt,max_t,income_group,target_pop,hs_constraints,dt,seeding_cases,age_groups_covered,age_groups_covered_d3,age_groups_covered_d4,age_groups_covered_d5,max_coverage,vacc_period,vacc_start,vaccine_doses,vfr,b1,vfr_time1,vfr_time2,vfr2_time1,vfr2_time2,vaccine,mu_ab_d1,k,hl_l,hl_s,period_s,period_l,ab_50,ab_50_severe,std10,max_ab,mu_ab_infection,std10_infection,mu_ab_inf_scal_vfr,hosp_scal,repetition,mu_ab_d2,scenario_name,index
0,0,0,1,1,scenario1,2.5,3650,HIC,1000000,Absent,0.25,10,14,14,14,14,0.05,30,3650,1,1,0.02,1,30,1095,1185,vaccine,0.6519230769230768,2.5,1000,35,75,565,0.091,0.021,0.44,5,0.760576923076923,0.44,1,1,4,0.6519230769230768,undefined,19
0,0,0,1,1,scenario1,2.5,3650,HIC,1000000,Absent,0.25,10,14,14,14,14,0.05,30,3650,1,1,0.02,1,30,1095,1185,vaccine,0.6519230769230768,2.5,1000,35,75,565,0.091,0.021,0.44,5,0.760576923076923,0.44,1,1,5,0.6519230769230768,undefined,20
0,0,0,1,1,scenario1,2.5,3650,HIC,1000000,Absent,0.25,10,14,14,14,14,0.05,30,3650,1,1,0.02,1,30,1095,1185,vaccine,0.6519230769230768,2.5,1000,35,75,565,0.091,0.021,0.44,5,0.8692307692307691,0.44,1,1,1,0.6519230769230768,undefined,21
0,0,0,1,1,scenario1,2.5,3650,HIC,1000000,Absent,0.25,10,14,14,14,14,0.05,30,3650,1,1,0.02,1,30,1095,1185,vaccine,0.6519230769230768,2.5,1000,35,75,565,0.091,0.021,0.44,5,0.8692307692307691,0.44,1,1,2,0.6519230769230768,undefined,22
0,0,0,1,1,scenario1,2.5,3650,HIC,1000000,Absent,0.25,10,14,14,14,14,0.05,30,3650,1,1,0.02,1,30,1095,1185,vaccine,0.6519230769230768,2.5,1000,35,75,565,0.091,0.021,0.44,5,0.8692307692307691,0.44,1,1,3,0.6519230769230768,undefined,23
0,0,0,1,1,scenario1,2.5,3650,HIC,1000000,Absent,0.25,10,14,14,14,14,0.05,30,3650,1,1,0.02,1,30,1095,1185,vaccine,0.6519230769230768,2.5,1000,35,75,565,0.091,0.021,0.44,5,0.8692307692307691,0.44,1,1,4,0.6519230769230768,undefined,24
0,0,0,1,1,scenario1,2.5,3650,HIC,1000000,Absent,0.25,10,14,14,14,14,0.05,30,3650,1,1,0.02,1,30,1095,1185,vaccine,0.6519230769230768,2.5,1000,35,75,565,0.091,0.021,0.44,5,0.8692307692307691,0.44,1,1,5,0.6519230769230768,undefined,25
0,0,0,1,1,scenario1,2.5,3650,HIC,1000000,Absent,0.25,10,14,14,14,14,0.05,30,3650,1,1,0.04,1,30,1095,1185,vaccine,0.6519230769230768,2.5,1000,35,75,565,0.091,0.021,0.44,5,0.43461538461538457,0.44,1,1,1,0.6519230769230768,undefined,26
0,0,0,1,1,scenario1,2.5,3650,HIC,1000000,Absent,0.25,10,14,14,14,14,0.05,30,3650,1,1,0.04,1,30,1095,1185,vaccine,0.6519230769230768,2.5,1000,35,75,565,0.091,0.021,0.44,5,0.43461538461538457,0.44,1,1,2,0.6519230769230768,undefined,27
0,0,0,1,1,scenario1,2.5,3650,HIC,1000000,Absent,0.25,10,14,14,14,14,0.05,30,3650,1,1,0.04,1,30,1095,1185,vaccine,0.6519230769230768,2.5,1000,35,75,565,0.091,0.021,0.44,5,0.43461538461538457,0.44,1,1,3,0.6519230769230768,undefined,28
0,0,0,1,1,scenario1,2.5,3650,HIC,1000000,Absent,0.25,10,14,14,14,14,0.05,30,3650,1,1,0.04,1,30,1095,1185,vaccine,0.6519230769230768,2.5,1000,35,75,565,0.091,0.021,0.44,5,0.43461538461538457,0.44,1,1,4,0.6519230769230768,undefined,29
0,0,0,1,1,scenario1,2.5,3650,HIC,1000000,Absent,0.25,10,14,14,14,14,0.05,30,3650,1,1,0.04,1,30,1095,1185,vaccine,0.6519230769230768,2.5,1000,35,75,565,0.091,0.021,0.44,5,0.43461538461538457,0.44,1,1,5,0.6519230769230768,undefined,30
0,0,0,1,1,scenario1,2.5,3650,HIC,1000000,Absent,0.25,10,14,14,14,14,0.05,30,3650,1,1,0.04,1,30,1095,1185,vaccine,0.6519230769230768,2.5,1000,35,75,565,0.091,0.021,0.44,5,0.5432692307692307,0.44,1,1,1,0.6519230769230768,undefined,31
0,0,0,1,1,scenario1,2.5,3650,HIC,1000000,Absent,0.25,10,14,14,14,14,0.05,30,3650,1,1,0.04,1,30,1095,1185,vaccine,0.6519230769230768,2.5,1000,35,75,565,0.091,0.021,0.44,5,0.5432692307692307,0.44,1,1,2,0.6519230769230768,undefined,32
0,0,0,1,1,scenario1,2.5,3650,HIC,1000000,Absent,0.25,10,14,14,14,14,0.05,30,3650,1,1,0.04,1,30,1095,1185,vaccine,0.6519230769230768,2.5,1000,35,75,565,0.091,0.021,0.44,5,0.5432692307692307,0.44,1,1,3,0.6519230769230768,undefined,33
0,0,0,1,1,scenario1,2.5,3650,HIC,1000000,Absent,0.25,10,14,14,14,14,0.05,30,3650,1,1,0.04,1,30,1095,1185,vaccine,0.6519230769230768,2.5,1000,35,75,565,0.091,0.021,0.44,5,0.5432692307692307,0.44,1,1,4,0.6519230769230768,undefined,34
